17/04/2024 09:50:23 AM : root         : INFO     : Visitor search jobs module = test_VSJ_06 execution started..
17/04/2024 09:50:24 AM : root         : INFO     : page url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:50:24 AM : root         : INFO     : current url: https://scecore6-vm.qa.facefirst.dev/
17/04/2024 09:50:24 AM : root         : INFO     : url is not open
17/04/2024 09:50:24 AM : root         : INFO     : opening localhost portal login
17/04/2024 09:50:24 AM : root         : INFO     : logging in to core
17/04/2024 09:50:24 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:24 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:27 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:27 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:29 AM : root         : INFO     : ******* Login with it admin user success *********
17/04/2024 09:50:36 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:36 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:38 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:38 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:38 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:38 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:38 AM : root         : INFO     : Clicked on Include Jobs For All Users option...
17/04/2024 09:50:41 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:51 AM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
17/04/2024 09:50:51 AM : root         : INFO     : before: 21
17/04/2024 09:50:51 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:50:51 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:50:52 AM : root         : INFO     : Strategy: from
17/04/2024 09:50:52 AM : root         : INFO     : select from date checkbox
17/04/2024 09:50:53 AM : root         : INFO     : select date time
17/04/2024 09:50:54 AM : root         : INFO     : datetime clicked
17/04/2024 09:50:55 AM : root         : INFO     : selecting time
17/04/2024 09:50:55 AM : root         : INFO     : select time 
17/04/2024 09:50:59 AM : root         : INFO     : select in from hours and min
17/04/2024 09:50:59 AM : root         : INFO     : From start date
17/04/2024 09:51:02 AM : root         : INFO     : Strategy: to
17/04/2024 09:51:05 AM : root         : INFO     : selecting time
17/04/2024 09:51:05 AM : root         : INFO     : select time 
17/04/2024 09:51:09 AM : root         : INFO     : select in to hours and min
17/04/2024 09:51:14 AM : root         : INFO     : To End Date
17/04/2024 09:51:19 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:51:19 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:51:19 AM : root         : INFO     : Clicked on Include Jobs For All Users option...
17/04/2024 09:51:22 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:51:33 AM : root         : INFO     : element not found: //ins[@class="iCheck-helper"]
17/04/2024 09:51:33 AM : root         : INFO     : after: 21
17/04/2024 09:51:35 AM : root         : INFO     : status: [False]
17/04/2024 09:51:37 AM : root         : INFO     : entered explicit wait for 10
17/04/2024 09:51:37 AM : root         : INFO     : exiting explicit wait..
17/04/2024 09:51:39 AM : root         : INFO     : test_VSJ_06 execution failed..
